Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Time (product.metafields.custom.time),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bangladesh,Price / Bangladesh,Compare At Price / Bangladesh,Included / International,Price / International,Compare At Price / International,Status
t-shirt-1,T-Shirt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-tshirt,0.0,shopify,deny,manual,18.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/tshirt-2_9fc37eb2-b0e2-4010-992f-51b175539ff0.jpg?v=1724757331,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/tshirt-2.jpg,false,,,,,,,,,,,,,,,,,kg,,18.00,true,,,true,,,active
hoodie-1,Hoodie,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,variable,"",true,pa_color,blue,,logo,Yes,,,,,woo-hoodie,0.0,shopify,deny,manual,45.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-2_e425df07-6199-4d30-9a05-aa376fbbc67d.jpg?v=1724757330,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-2.jpg,false,,,,,,,,,,,,,,,,,kg,,45.00,true,,,true,,,active
hoodie-1,,,,,,,,,red,,,No,,,,,woo-hoodie,0.0,shopify,deny,manual,45.00,42.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-blue-1_a2a09b36-5d0f-4cdb-ac4c-c03ab166d605.jpg?v=1724757330,2,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-blue-1.jpg,,,,,,,,,,,,,,,,,,kg,,45.00,,,,,,,
hoodie-1,,,,,,,,,green,,,No,,,,,woo-hoodie,0.0,shopify,deny,manual,45.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-green-1_dbe23980-e05b-4397-b82e-bbf348f85224.jpg?v=1724757330,3,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-green-1.jpg,,,,,,,,,,,,,,,,,,kg,,45.00,,,,,,,
hoodie-1,,,,,,,,,blue,,,No,,,,,woo-hoodie,0.0,shopify,deny,manual,45.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-with-logo-2_9753a10c-1116-4f8d-89a1-1081a6f7112e.jpg?v=1724757330,4,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-with-logo-2.jpg,,,,,,,,,,,,,,,,,,kg,,45.00,,,,,,,
beanie-1,Beanie,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-beanie,0.0,shopify,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/beanie-2_5f47ea0e-fc8a-4373-9462-86041a85425d.jpg?v=1724757326,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/beanie-2.jpg,false,,,,,,,,,,,,,,,,,kg,,18.00,true,,,true,,,active
belt-1,Belt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-belt,0.0,shopify,deny,manual,55.00,65.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/belt-2_c5294dfc-155c-4d75-a4e0-14f96f2b7b76.jpg?v=1724757325,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/belt-2.jpg,false,,,,,,,,,,,,,,,,,kg,,55.00,true,,,true,,,active
cap-1,Cap,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-cap,0.0,shopify,deny,manual,16.00,18.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/cap-2_93e08af7-abd8-410e-99c6-8acdf72fa0ed.jpg?v=1724757323,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/cap-2.jpg,false,,,,,,,,,,,,,,,,,kg,,16.00,true,,,true,,,active
sunglasses-1,Sunglasses,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-sunglasses,0.0,shopify,deny,manual,90.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/sunglasses-2_40638620-1f93-4cb8-9097-a3fc5807b00b.jpg?v=1724757321,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/sunglasses-2.jpg,false,,,,,,,,,,,,,,,,,kg,,90.00,true,,,true,,,active
hoodie-with-logo-1,Hoodie with Logo,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",PayfulApp,,simple,"",true,Title,Default Title,,,,,,,,woo-hoodie-with-logo,0.0,shopify,deny,manual,45.00,0.00,true,true,,https://cdn.shopify.com/s/files/1/0755/4639/4945/files/hoodie-with-logo-2_12fb21a1-a5fe-479b-bec5-58723b81f539.jpg?v=1724757319,1,https://ludicrouspigs.s1-tastewp.com/wp-content/uploads/2024/08/hoodie-with-logo-2.jpg,false,,,,,,,,,,,,,,,,,kg,,45.00,true,,,true,,,active
